# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_laumer.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-4142779.653,0,0.413,0.721,1,0.3298214249,0.914427123
55,-4142780.354,0.7006114745,0.147,0.279,1,0.2015733417,0.2932886829
2,-4142780.361,0.7076295526,0.164,0.303,1,0.1956830509,0.5556199364
86,-4142783.855,4.201804469,0.115,0.144,0.998,0.1087801407,0.2363574145
3,-4142784.83,5.176900584,0.12,0.163,0.999,0.1063728726,0.2325182867
63,-4142785.073,5.419359166,0.01,0.056,0.997,0.0246036239,0.1005549627
30,-4142787.295,7.641984381,0.007,0.041,0.994,0.00975635674,0.01797097298
87,-4142791.761,12.10787022,0.018,0.047,0.987,0.01758128978,0.01576914816
64,-4142794.342,14.68834647,0.001,0.001,0.975,0.0006748038815,9.969618715e-08
9,-4142800.237,20.58400579,0.003,0.016,0.844,0.002716808373,0.01479270732
4,-4142800.27,20.61663747,0.002,0.017,0.845,0.002415058019,0.002810957143
65,-4142804.788,25.13436485,0,0.001,0.779,1.097650901e-05,2.761714853e-10
76,-4142805.626,25.97256989,0,0,0.749,5.004702434e-07,3.984572769e-34
10,-4142808.947,29.29418905,0,0,0.604,3.760675027e-06,0.01221310952
27,-4142808.948,29.29475826,0,0,0.603,3.772296987e-06,0.01230728345
83,-4142810.632,30.97916004,0,0,0.595,1.136944341e-09,1.187861841e-06
97,-4142815.689,36.03538055,0,0,0.413,3.433568313e-08,7.765758376e-06
88,-4142815.864,36.21061957,0,0,0.405,5.041791749e-08,1.158426449e-49
5,-4142816.525,36.87200778,0,0,0.42,2.060490866e-06,0.002933002886
11,-4142818.559,38.90610274,0,0,0.362,7.212869802e-10,4.97707072e-13
17,-4142824.619,44.96604415,0,0,0.235,2.342393216e-10,2.050110193e-06
12,-4142825.362,45.70833861,0,0,0.22,3.132709999e-11,5.382739707e-12
18,-4142828.213,48.55949388,0,0,0.184,1.308859999e-09,7.309448969e-09
20,-4142828.951,49.29753138,0,0,0.175,4.950356689e-09,6.377012791e-12
21,-4142830.802,51.14891278,0,0,0.157,6.489306439e-08,5.202042501e-05
100,-4142832.333,52.67919283,0,0,0.095,3.394289634e-13,1.523012502e-40
