# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_rib.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-405935.868,0,0.662,0.726,1,0.6275350382,0.8551463693
63,-405941.549,5.680961365,0.076,0.274,0.99,0.0656602507,0.6252782191
10,-405941.7876,5.919608855,0.03,0.263,0.985,0.04761308843,0.6245594185
9,-405941.8031,5.935037246,0.046,0.261,0.984,0.05241918665,0.3560863663
52,-405942.5542,6.686160621,0.031,0.24,0.982,0.03351983689,0.5981376087
11,-405942.7761,6.908055002,0.026,0.238,0.979,0.02732727559,0.6051758291
60,-405944.0054,8.137334681,0.033,0.2,0.939,0.02983053516,0.2413651495
12,-405945.3225,9.454470097,0.002,0.17,0.911,0.006546669748,0.1641521865
47,-405945.3418,9.473738598,0.006,0.173,0.91,0.006404625224,0.1675526628
13,-405946.7112,10.84323268,0.004,0.138,0.836,0.004566946312,0.06021317823
64,-405947.1091,11.24107398,0.014,0.132,0.775,0.01086156293,0.2431595547
8,-405947.2135,11.34548375,0,0.091,0.777,0.001316531582,0.03269079021
104,-405947.5619,11.69390997,0.001,0.089,0.754,0.001096448486,0.002036427305
40,-405947.5932,11.72515285,0,0.11,0.788,0.002344344183,0.1112192745
89,-405947.8043,11.93628193,0.004,0.118,0.734,0.006013665315,0.03720605386
14,-405947.9299,12.06184856,0.005,0.119,0.768,0.005505905411,0.1534020204
6,-405948.3923,12.52432873,0,0.024,0.655,0.0007618081697,0.03975398043
3,-405948.605,12.73693674,0,0.006,0.623,0.001733854833,0.0656920053
4,-405948.6053,12.73733119,0.003,0.006,0.623,0.001723505782,0.06590385947
15,-405948.8495,12.98144692,0.007,0.104,0.695,0.007606846899,0.1869187343
90,-405949.1393,13.27131942,0.001,0.096,0.641,0.002791363564,0.1891753778
99,-405949.2216,13.35361355,0.001,0.093,0.628,0.002463700623,0.1605876486
76,-405949.3408,13.47280416,0.006,0.102,0.615,0.006192066891,0.1351749091
65,-405949.3421,13.47405537,0.004,0.102,0.615,0.006182422743,0.1306603626
53,-405949.1612,13.29322853,0.002,0.091,0.665,0.003129291252,0.01154737924
32,-405949.5329,13.66492772,0.013,0.104,0.639,0.0123969555,0.126793554
7,-405949.9616,14.09362698,0,0.036,0.582,0.0005220710303,0.004514762362
91,-405950.5983,14.73032904,0.002,0.075,0.572,0.002828541961,0.03255674968
92,-405950.5989,14.73088631,0.004,0.075,0.572,0.002838803922,0.03585442983
115,-405950.8467,14.97871125,0.001,0.037,0.549,0.0007871190345,3.26569565e-09
5,-405950.9621,15.09406102,0,0.002,0.538,0.0001505224748,4.176039516e-63
41,-405951.5988,15.73080227,0.001,0.063,0.518,0.0007277886951,0.0266503997
118,-405952.1213,16.25325671,0,0.015,0.454,0.0001367906385,0.03977273297
100,-405952.2112,16.34322268,0,0.054,0.44,0.0003228920991,9.567374118e-05
119,-405952.4278,16.55979295,0.003,0.026,0.458,0.002669506001,0.01671626155
82,-405953.0052,17.13717701,0.002,0.052,0.423,0.001128014266,0.01409557919
77,-405953.0052,17.13721308,0,0.052,0.423,0.001127317664,0.01410602376
16,-405953.063,17.19501129,0,0.059,0.417,0.002196106519,0.1251704416
23,-405953.0666,17.19860965,0.001,0.058,0.424,0.002214373217,0.1353077759
83,-405954.7643,18.89626148,0,0.037,0.332,0.0003280794921,0.06871274039
93,-405955.0802,19.2122215,0,0.03,0.314,0.0001295601155,3.388501867e-09
96,-405955.0839,19.21583946,0,0.03,0.314,0.0001398106844,2.179050293e-38
33,-405955.2416,19.37355768,0,0.024,0.264,1.917444261e-05,5.706846271e-42
24,-405955.3746,19.50656536,0.001,0.047,0.31,0.001189207649,0.06162910322
117,-405955.6708,19.80281175,0,0.013,0.307,7.572782263e-05,0.000209842035
116,-405955.773,19.90502256,0,0.013,0.303,7.4331438e-05,0.0005268938347
101,-405955.8342,19.96620475,0,0.024,0.285,4.353247458e-05,0.008564120352
102,-405955.8409,19.97284309,0,0.025,0.285,4.472030463e-05,0.01045371801
88,-405956.1931,20.32504924,0.003,0.031,0.314,0.002165150076,0.03258042355
17,-405956.2566,20.38861872,0,0.038,0.255,0.0001543431275,0.001939889519
84,-405957.2558,21.38781542,0.001,0.022,0.247,0.0005396420441,0.03643160549
85,-405957.2601,21.39208814,0,0.022,0.247,0.0005615417873,0.02785109871
105,-405957.7337,21.86572858,0,0.006,0.195,5.795660599e-05,0.05181490499
49,-405957.7474,21.87935074,0,0.019,0.194,9.8014592e-05,0.0004132549235
31,-405957.8314,21.96337364,0,0.026,0.209,0.0003392427616,0.001297983348
120,-405957.8467,21.97872502,0,0.003,0.229,9.086434371e-07,6.568999961e-57
30,-405958.1055,22.23743847,0.002,0.03,0.218,0.001520194571,0.00393264185
25,-405958.2137,22.34567281,0,0.031,0.203,0.0002716747736,0.01429002445
18,-405958.5753,22.70727208,0.002,0.023,0.174,0.0007882047434,7.363158322e-07
66,-405959.1547,23.2867225,0,0.019,0.173,5.517374672e-06,0.0003368940666
71,-405959.2768,23.40879706,0,0.019,0.167,5.453800126e-06,0.0003533693933
45,-405959.3041,23.4361216,0,0.009,0.148,7.855195946e-06,1.297812979e-06
103,-405959.8615,23.99351668,0,0.015,0.15,8.710094381e-06,3.021234407e-16
67,-405959.8672,23.99920064,0,0.018,0.162,3.637816561e-06,0.0003267935612
78,-405960.5708,24.70278275,0,0.011,0.146,1.666784613e-05,1.07250182e-91
114,-405960.7663,24.89825147,0,0.003,0.115,1.34857856e-05,0.02678336115
48,-405960.8561,24.98807302,0,0.009,0.114,6.157923711e-05,0.001768498829
81,-405962.4279,26.55987411,0,0.007,0.107,0.0001131180043,0.004336817609
26,-405962.7623,26.89427743,0,0.008,0.099,1.58388771e-05,0.04271990264
69,-405963.4046,27.53655328,0,0.007,0.086,1.882349188e-07,1.509821681e-06
70,-405964.3196,28.45160142,0,0.004,0.072,5.415673096e-07,4.706913425e-35
42,-405964.7148,28.8468302,0,0.002,0.048,6.900397101e-08,1.546389313e-07
27,-405965.3294,29.46141432,0,0.004,0.058,7.777768003e-06,0.003726605922
72,-405966.9851,31.11710825,0,0.004,0.046,3.865763756e-08,0.006223912007
73,-405967.0343,31.16626514,0,0.005,0.046,5.970784918e-08,0.002969024533
107,-405967.8502,31.982143,0,0.002,0.042,7.210722928e-08,0.01152604492
37,-405968.1725,32.30446911,0,0,0.006,8.791611859e-09,3.941444867e-98
87,-405969.4185,33.55047566,0,0.002,0.022,1.081174306e-07,0.001465986042
43,-405969.6584,33.79034807,0,0.001,0.022,9.076840429e-10,1.415183437e-37
44,-405969.6886,33.82053983,0,0.001,0.022,8.921122652e-10,8.522672409e-45
86,-405969.789,33.92099037,0,0.001,0.025,1.581619792e-07,0.0007348127088
106,-405970.2956,34.42753525,0,0.001,0.025,5.252794704e-09,0.00516058263
68,-405972.0633,36.19527649,0,0.002,0.014,9.106806451e-10,0.0002583642022
98,-405972.0824,36.21443256,0,0.001,0.016,1.692637177e-09,3.745704777e-43
97,-405972.195,36.32694836,0,0,0.016,1.518399062e-09,2.969864457e-37
79,-405972.2562,36.38817183,0,0.001,0.015,8.650653765e-10,1.55079551e-48
51,-405972.2568,36.38875771,0,0.001,0.007,1.77444187e-10,0.03281858944
80,-405972.2573,36.38932886,0,0.001,0.015,8.430352868e-10,1.243801945e-47
36,-405972.5493,36.68125586,0,0.002,0.003,1.127795186e-09,2.30733265e-54
74,-405973.0007,37.13268681,0,0.001,0.021,4.276563384e-08,0.001481700621
75,-405973.1546,37.28658648,0,0.002,0.021,3.60100378e-07,0.002470256684
94,-405973.4698,37.60178221,0,0.001,0.014,1.583379573e-06,6.993623976e-83
95,-405974.3949,38.5268466,0,0,0.009,1.464698735e-07,0.0006233084149
19,-405974.4029,38.53488057,0,0,0.005,2.034784378e-06,2.825729958e-74
108,-405974.6059,38.73791674,0,0.001,0.012,1.244550258e-09,0.003947904044
111,-405976.1125,40.24444391,0,0,0.005,3.586422593e-10,0.005997593326
22,-405977.3199,41.45190932,0,0,0.001,2.239112293e-07,1.725143355e-47
28,-405978.3605,42.49252524,0,0,0.004,4.911676069e-10,0.01910773443
20,-405978.6643,42.7962963,0,0,0.002,1.067992219e-07,1.864190271e-76
46,-405980.7811,44.91311503,0,0,0.001,2.430775997e-09,7.120226658e-38
54,-405980.9293,45.06130671,0,0,0.005,1.855145913e-10,0.03326277548
21,-405981.8485,45.98050233,0,0,0.001,3.952880157e-09,5.332704584e-84
112,-405983.0654,47.19735505,0,0,0.001,3.958649484e-13,0.0001682427133
113,-405983.3589,47.49086611,0,0,0.001,1.801385082e-12,0.02406055888
55,-405983.4597,47.59171197,0,0,0.004,9.924868996e-12,0.01443204396
59,-405983.8356,47.96755604,0,0,0.002,1.69028738e-11,0.0154115632
56,-405984.668,48.79999029,0,0,0.003,8.84075958e-12,0.001178566497
58,-405985.2925,49.42446646,0,0,0.003,4.73346135e-12,0.009671023721
57,-405985.8412,49.97320723,0,0,0.003,9.812566044e-13,0.01055940497
50,-405987.6367,51.76871797,0,0,0,1.89534835e-15,1.933489793e-05
39,-405989.7955,53.92745341,0,0,0,3.823343185e-15,1.082302116e-47
109,-405989.9593,54.09127301,0,0,0,3.882509461e-14,3.826879328e-174
62,-405991.1999,55.33189627,0,0,0,2.118356785e-17,9.820069405e-05
61,-405991.2002,55.33220589,0,0,0,2.8724177e-17,1.027829609e-05
110,-405991.3409,55.47291285,0,0,0.001,2.487646737e-15,5.32662993e-34
34,-405987.9577,52.08965257,0,0,0,1.179036332e-15,0.0003788927792
29,-405994.4006,58.53259889,0,0,0,2.839839685e-13,5.701726559e-06
38,-405993.8268,57.95880375,0,0,0,7.686440759e-15,4.700581696e-97
35,-406021.9891,86.12108025,0,0,0,1.130035948e-25,9.281133269e-32

