# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_rib_100k.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-405935.8668,0,0.66957,0.7251,1,0.63243276,0.8131075297
63,-405941.5463,5.679435976,0.07502,0.2749,0.98869,0.06325067686,0.6652862787
10,-405941.7849,5.918048697,0.02998,0.26522,0.98491,0.0456650681,0.6684429092
9,-405941.8004,5.933542046,0.0448,0.26432,0.98306,0.04997804543,0.3718441938
52,-405942.5509,6.684091139,0.02745,0.24451,0.97809,0.03320000058,0.5716871918
11,-405942.7729,6.906048768,0.0189,0.23655,0.97391,0.02527539015,0.6575030712
60,-405944.0017,8.134844165,0.0403,0.20824,0.93981,0.03346540712,0.2581694308
12,-405945.3196,9.452749768,0.00234,0.1684,0.90755,0.005871259505,0.1601669133
47,-405945.3388,9.472026297,0.00303,0.16778,0.90578,0.005774801067,0.08363155282
13,-405946.7077,10.84092352,0.00287,0.14259,0.8457,0.004232555904,0.1529108787
64,-405947.1065,11.23970408,0.01106,0.14553,0.76252,0.01095881305,0.2541980535
8,-405947.211,11.34421797,0.00051,0.0957,0.7911,0.00123914516,0.04782196909
104,-405947.5593,11.69250582,0.00039,0.09727,0.77479,0.001034466409,0.008778176015
40,-405947.5896,11.72281518,0.00093,0.12314,0.79345,0.002089473209,0.0674764235
89,-405947.8019,11.93510203,0.00287,0.12878,0.72823,0.005345288528,0.08394104086
14,-405947.9265,12.05967988,0.00377,0.12541,0.75881,0.00573038684,0.1976385153
6,-405948.3904,12.5235596,0.00049,0.02021,0.65733,0.0008225031611,0.0225197314
3,-405948.6035,12.7366609,0.00041,0.00872,0.6282,0.001028230204,0.007681311827
4,-405948.6039,12.73705669,0.00046,0.00871,0.62812,0.001025977159,0.00758106445
15,-405948.8461,12.97928695,0.00826,0.11376,0.68471,0.007828599085,0.1957035936
90,-405949.1371,13.27026172,0.00197,0.10735,0.6408,0.003497009993,0.1482015655
99,-405949.2194,13.35258187,0.00194,0.10579,0.63618,0.003196877247,0.06943046548
76,-405949.3381,13.47127828,0.00616,0.11191,0.61126,0.00769323458,0.1247073994
65,-405949.3393,13.47252895,0.0071,0.11191,0.61113,0.007685422501,0.1243757505
53,-405949.1576,13.29081615,0.00189,0.09972,0.67291,0.002659768502,0.0190006419
32,-405949.529,13.66217703,0.01587,0.10775,0.63381,0.01248555666,0.1261967301
7,-405949.9594,14.09259019,0.00026,0.03532,0.59469,0.0004722911647,0.03498312717
91,-405950.596,14.72913331,0.00235,0.08719,0.55104,0.002910179039,0.06132520503
92,-405950.5965,14.72969034,0.00234,0.08718,0.55099,0.002909238778,0.06187319596
115,-405950.8445,14.97772507,0.00018,0.03485,0.54478,0.0003463342315,0.01583899433
5,-405950.9605,15.09371117,4e-05,0.00314,0.52467,0.0001370941232,0.001180447443
41,-405951.596,15.72917175,0.00038,0.0644,0.50683,0.0005183021283,0.01164273725
118,-405952.119,16.25215091,8e-05,0.01485,0.47021,0.0001773690258,0.003172954451
100,-405952.2088,16.34194082,0.0004,0.06593,0.45736,0.0006573709196,0.01638035918
119,-405952.4257,16.55885172,0.00326,0.02388,0.46487,0.003072896962,0.02420548449
82,-405953.0026,17.13577342,0.00073,0.06543,0.41293,0.00120593439,0.04249337026
77,-405953.0026,17.13581098,0.00077,0.06543,0.41296,0.001206121089,0.04165374644
16,-405953.0597,17.1929205,0.00113,0.06507,0.41491,0.001948089907,0.04463365246
23,-405953.0633,17.19651537,0.00142,0.06504,0.41469,0.001922425481,0.08468749129
83,-405954.7619,18.89511564,0.00027,0.04923,0.33445,0.0005031518123,0.02598479526
93,-405955.078,19.21117533,5e-05,0.04014,0.31436,0.0001746552004,0.003034240632
96,-405955.0816,19.2147926,7e-05,0.04006,0.314,0.0001739236184,0.002887516347
33,-405955.2391,19.37230107,0,0.0341,0.26454,2.993647944e-05,0.0007166511791
24,-405955.3713,19.50446819,0.00093,0.04658,0.30544,0.000968375844,0.05590222051
117,-405955.6684,19.80155571,0.00014,0.01291,0.30041,0.0001425957015,0.005564994599
116,-405955.7705,19.90367855,9e-05,0.01258,0.2956,0.0001306981594,0.006589925887
101,-405955.832,19.96514689,6e-05,0.03557,0.2845,0.0001491092574,0.004564096206
102,-405955.8386,19.97176989,0.0001,0.03547,0.28424,0.0001496683533,0.005404169822
88,-405956.1914,20.32462673,0.00303,0.04384,0.29032,0.002545051553,0.03223984422
17,-405956.2531,20.38632436,0.00038,0.03901,0.2629,0.000486963342,0.01128570352
84,-405957.2535,21.38668818,0.00042,0.03518,0.24722,0.0004864823205,0.01835016636
85,-405957.2578,21.39095942,0.00039,0.03523,0.2469,0.0004839504185,0.01745890732
105,-405957.7311,21.86430438,4e-05,0.01364,0.18749,3.186630245e-05,0.001763119223
49,-405957.745,21.87819127,8e-05,0.02038,0.19587,8.113408371e-05,0.0031343316
31,-405957.8277,21.96083975,0.00055,0.03166,0.21321,0.0005367921793,0.01123514036
120,-405957.8447,21.97792848,0,0.00233,0.21764,2.318462418e-06,1.643363594e-05
30,-405958.1025,22.2356414,0.00106,0.03206,0.21198,0.0009338968168,0.01642948359
25,-405958.2107,22.34393065,0.00023,0.03012,0.20131,0.0003570090701,0.01041649914
18,-405958.5717,22.7048737,0.00015,0.02604,0.1792,0.0001620401636,0.003891662188
66,-405959.152,23.28517012,3e-05,0.02358,0.17866,6.297609019e-05,0.009092488367
71,-405959.2741,23.40725896,1e-05,0.02276,0.17436,4.640014557e-05,0.001475428238
45,-405959.3011,23.43426041,0,0.01528,0.13936,2.930144193e-05,0.0006007376423
103,-405959.859,23.99221585,2e-05,0.01624,0.14902,3.39185577e-05,0.00150143958
67,-405959.8642,23.99743291,9e-05,0.02172,0.16406,0.000105886812,0.00542477162
78,-405960.5685,24.70172952,1e-05,0.01713,0.14593,2.744440782e-05,0.002018053765
114,-405960.7637,24.89687492,0,0.00679,0.10686,6.616963812e-06,0.0001870423765
48,-405960.8539,24.98707341,0,0.01056,0.10624,1.078522668e-05,0.001270402918
81,-405962.4265,26.55971491,8e-05,0.01357,0.11552,8.895499243e-05,0.001701831132
26,-405962.7595,26.89271502,0,0.01315,0.09233,3.471458084e-05,0.001253920605
69,-405963.4018,27.53497252,0,0.01129,0.09052,9.768924868e-06,0.0002576482422
70,-405964.3165,28.44965598,0,0.00948,0.07928,1.179389262e-05,0.001327091212
42,-405964.7121,28.84526309,0,0.00509,0.04656,2.205452306e-06,0.0001213888559
27,-405965.3269,29.46007792,0,0.00807,0.05488,7.448039928e-06,7.709652374e-05
72,-405966.9827,31.11588144,0,0.00517,0.04765,4.635394655e-06,0.002020072766
73,-405967.0319,31.16506016,0,0.00514,0.04727,4.31783298e-06,0.002570199816
107,-405967.8477,31.98088232,0,0.00203,0.0313,1.772582066e-06,6.636362142e-07
37,-405968.1705,32.3037196,0,0.00222,0.01286,5.513679925e-08,0.001882789129
87,-405969.4164,33.54958501,0,0.00323,0.0319,4.472514973e-07,7.943703079e-15
43,-405969.6551,33.7882358,0,0.00192,0.01634,2.829696712e-07,3.346158541e-10
44,-405969.6852,33.81842321,0,0.00191,0.01618,2.747306952e-07,1.749123553e-09
86,-405969.7869,33.92009126,0,0.00319,0.03069,5.159367823e-07,4.517826702e-05
106,-405970.293,34.42618178,1e-05,0.00132,0.02044,8.1597554e-06,2.7827044e-05
68,-405972.0604,36.19361444,0,0.00169,0.01579,2.919090218e-08,3.199295482e-08
98,-405972.0801,36.21331508,0,0.00116,0.01388,1.424981252e-06,0.0002193198274
97,-405972.1927,36.32591314,1e-05,0.0011,0.0136,1.191998594e-06,0.0003279619303
79,-405972.2542,36.38737038,0,0.00142,0.01583,9.876564286e-08,2.792184229e-29
51,-405972.2541,36.38726105,0,0.00069,0.0068,2.164725943e-08,9.49063807e-06
80,-405972.2553,36.38852792,0,0.00142,0.01582,1.00049146e-07,7.224806102e-35
36,-405972.5476,36.68082238,0,0.00096,0.00532,4.479364217e-07,1.07169906e-05
74,-405972.998,37.13122354,0,0.00169,0.01695,4.420534266e-06,0.0009823115488
75,-405973.1518,37.28495945,1e-05,0.00199,0.01855,7.142354832e-06,0.0004425256328
94,-405973.4685,37.60164538,0,0.00135,0.0131,9.481086264e-08,0.0001186053637
95,-405974.3933,38.52646119,0,0.00123,0.01083,2.554362354e-07,0.0001406566205
19,-405974.3992,38.53238596,1e-05,0.00141,0.00933,3.846983898e-06,4.507170722e-05
108,-405974.6031,38.73625101,0,0.00044,0.00742,3.132781709e-08,5.45189066e-54
111,-405976.1096,40.24282431,0,0.00032,0.00529,4.817191351e-09,1.658398383e-43
22,-405977.3163,41.44944882,0,0.00073,0.00449,1.247921302e-07,3.825043077e-07
28,-405978.358,42.49113892,0,0.00042,0.00286,9.631032175e-09,3.115891237e-59
20,-405978.6607,42.79393202,0,0.00063,0.00458,1.90082812e-06,7.865230444e-07
46,-405980.7769,44.91012504,0,0.00019,0.00182,2.364288565e-08,1.694282923e-05
54,-405980.9254,45.05858165,0,0.00023,0.00226,1.269906263e-08,1.155881483e-05
21,-405981.8448,45.9779983,0,0.00032,0.00186,1.325098387e-07,2.336085907e-86
112,-405983.0624,47.19554157,0,7e-05,0.00116,6.706600891e-11,6.796170669e-67
113,-405983.356,47.48917136,0,6e-05,0.00093,2.020337484e-11,4.499310588e-05
55,-405983.4557,47.58890519,0,0.0001,0.00144,4.169210373e-09,1.238311032e-05
59,-405983.8318,47.96499768,0,0.00014,0.00115,3.876528282e-10,1.243782524e-06
56,-405984.6639,48.79706419,0,0.00015,0.00143,1.706757745e-08,3.561025484e-06
