# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_simion.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-13628774.04,0,0.801,0.828,1,0.7977113303,0.8447106921
2,-13628779.53,5.486210581,0.185,0.172,0.999,0.1796352673,0.3059158435
95,-13628783.81,9.771360593,0,0.016,0.998,0.003586284106,0.01805710285
72,-13628792.63,18.59173105,0.014,0.033,0.996,0.01684757438,0.01332049593
3,-13628795.15,21.10899599,0,0.017,0.993,0.002219024805,0.009336105671
115,-13628815.16,41.11706606,0,0,0.909,5.189441026e-07,1.951861275e-05
4,-13628826.68,52.63764452,0,0,0.856,1.645855939e-10,0.007734251982
107,-13628861.98,87.94406683,0,0,0.358,1.733721715e-27,3.596225801e-05
50,-13628870.65,96.60701139,0,0,0.267,6.928261386e-17,0.0009455498336
5,-13628874.39,100.3507672,0,0,0.228,1.015231108e-21,5.81550163e-05
134,-13628882.97,108.9284395,0,0,0.153,1.179812333e-29,9.270819076e-59
96,-13628917.76,143.7209638,0,0,0.028,1.594820096e-47,7.313662688e-48
71,-13628934.33,160.2883027,0,0,0.011,5.724068896e-49,0.00564921567
116,-13628965.14,191.1031456,0,0,0.003,9.200405462e-59,4.516603672e-05
129,-13628979.07,205.0319637,0,0,0.002,1.856940895e-64,2.420455555e-05
51,-13628987.79,213.7499553,0,0,0,1.875040443e-49,0.007750034261
64,-13628998.16,224.1210898,0,0,0,2.949732896e-56,0.01089106098
52,-13629016.13,242.0887091,0,0,0,5.942119432e-59,0.6094751113
59,-13629026.72,252.6818437,0,0,0,3.62430506e-62,0.0001172859557
31,-13629030.35,256.3115942,0,0,0,2.261938804e-83,0.002814097562
6,-13629030.53,256.4928899,0,0,0,2.543340851e-83,0.001984692126
65,-13629074.94,300.8957538,0,0,0,2.42919638e-83,0.004346368122
68,-13629074.94,300.8964833,0,0,0,2.425434051e-83,0.004343646727
120,-13629106.64,332.5960129,0,0,0,3.588020486e-111,1.194349276e-70
130,-13629115.35,341.3065258,0,0,0,1.920213147e-119,1.768647315e-30
60,-13629121.84,347.8045909,0,0,0,1.323440834e-97,9.725289406e-107
56,-13629122.66,348.6183649,0,0,0,2.662212888e-99,5.712776132e-42
53,-13629122.66,348.6198,0,0,0,2.607954372e-99,1.218106441e-42
117,-13629125.75,351.7144431,0,0,0,1.513052081e-118,1.359341142e-118
131,-13629135.31,361.2680617,0,0,0,4.613740987e-127,3.967628986e-68
97,-13629158.48,384.4418088,0,0,0,2.117121299e-136,0.01188021095
142,-13629170.26,396.2198581,0,0,0,1.092158668e-132,0.0002066424566
32,-13629174.26,400.2239137,0,0,0,1.91593836e-144,2.118367868e-06
66,-13629211.45,437.4090015,0,0,0,1.735771857e-145,1.88023801e-33
57,-13629212.66,438.6207946,0,0,0,5.27612015e-134,4.46308586e-05
135,-13629224.04,450.0041093,0,0,0,2.503195787e-156,3.593637481e-70
69,-13629224.7,450.6575284,0,0,0,4.578979135e-149,1.516563029e-05
111,-13629236.7,462.6651504,0,0,0,4.460627488e-161,1.105072573e-05
