# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_simion_10k.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-13628774.06,0,0.8201,0.8253,1,0.8084661374,0.8540816907
2,-13628779.54,5.486452146,0.1629,0.1747,0.9995,0.1702457553,0.2589946529
95,-13628783.83,9.771423401,0.0004,0.0162,0.9988,0.003046640332,0.003829205412
72,-13628792.65,18.59226292,0.015,0.0404,0.997,0.01569762693,0.02317809344
3,-13628795.17,21.10930916,0.0016,0.0219,0.9945,0.002543624429,0.006282082724
115,-13628815.17,41.11693159,0,0,0.9277,1.568154839e-07,1.679748645e-13
4,-13628826.69,52.63696816,0,0.0001,0.8402,5.874045432e-08,0.0002857891153
107,-13628862,87.94296116,0,0,0.3432,1.576435267e-25,1.268053358e-47
50,-13628870.66,96.60596998,0,0,0.2476,7.758136302e-18,0.0001999238504
5,-13628874.41,100.3498214,0,0,0.21,1.691658931e-19,2.959012133e-07
134,-13628882.98,108.9266613,0,0,0.1503,4.526679218e-24,3.465187641e-05
96,-13628917.78,143.719144,0,0,0.0255,6.311586116e-46,1.139038982e-45
71,-13628934.34,160.2867429,0,0,0.0084,1.455805611e-45,1.10877502e-55
116,-13628965.16,191.1023526,0,0,0.0031,8.366781529e-54,2.546540472e-57
129,-13628979.09,205.031368,0,0,0.0018,9.832528903e-61,8.674760432e-66
51,-13628987.81,213.7475776,0,0,0.0009,1.865834144e-50,1.526883065e-41
64,-13628998.18,224.1192549,0,0,0.0004,2.931908808e-57,5.17294417e-56
52,-13629016.14,242.0857776,0,0,0.0001,6.697446201e-60,3.312687506e-37
59,-13629026.74,252.6789794,0,0,0,3.607281892e-63,5.089305189e-06
31,-13629030.37,256.310675,0,0,0,2.599869568e-80,1.122064156e-05
6,-13629030.55,256.4919453,0,0,0,2.000341296e-80,2.507245757e-05
65,-13629074.95,300.8944795,0,0,0,2.480928645e-84,3.364093873e-05
68,-13629074.95,300.8952072,0,0,0,2.477251402e-84,3.355681847e-05
120,-13629106.65,332.5966058,0,0,0,3.280212971e-108,1.476357689e-54
130,-13629115.36,341.3049082,0,0,0,1.530661555e-111,1.277365133e-97
60,-13629121.86,347.8011237,0,0,0,1.318648599e-98,4.944875273e-05
56,-13629122.67,348.6146621,0,0,0,9.093267384e-100,1.022261707e-61
53,-13629122.67,348.6160883,0,0,0,9.037822083e-100,8.636670503e-61
117,-13629125.77,351.7150386,0,0,0,1.232285386e-114,5.951186499e-80
131,-13629135.33,361.2674052,0,0,0,7.939763681e-117,3.872539484e-06
97,-13629158.5,384.4399867,0,0,0,2.008602738e-136,1.971883358e-102
142,-13629170.28,396.2178979,0,0,0,5.319428244e-126,2.554239615e-46
32,-13629174.28,400.2241889,0,0,0,1.076923831e-136,3.710008402e-38
66,-13629211.46,437.4069814,0,0,0,1.795214637e-140,1.351904416e-07
57,-13629212.67,438.6169052,0,0,0,2.755224954e-133,8.017939825e-08
135,-13629224.06,450.0012954,0,0,0,8.564944629e-146,1.217918883e-51
69,-13629224.71,450.6570134,0,0,0,8.867507247e-145,2.502123069e-08
111,-13629236.72,462.6600062,0,0,0,4.064080634e-156,4.523886644e-06
98,-13629247.2,473.1470393,0,0,0,4.715796894e-167,9.283628832e-43
47,-13629247.99,473.9310947,0,0,0,8.169176625e-163,4.732905647e-52
108,-13629268.46,494.4048652,0,0,0,1.254649882e-170,1.290466087e-35
63,-13629272.66,498.6036773,0,0,0,8.928426209e-160,1.091516456e-43
70,-13629276.47,502.4127392,0,0,0,4.978547327e-168,6.39749614e-36
124,-13629280.81,506.752358,0,0,0,2.541868266e-176,1.402478048e-05
54,-13629290.37,516.3095565,0,0,0,1.71029137e-167,4.069139866e-13
7,-13629293.16,519.0978888,0,0,0,5.897067213e-176,0.0001437425118
20,-13629305.04,530.9815537,0,0,0,8.14059551e-175,0.0001423784851
8,-13629346.76,572.7030888,0,0,0,1.595554481e-198,7.485068963e-05
121,-13629350.52,576.4644596,0,0,0,1.769595742e-202,2.743583786e-62
55,-13629354.26,580.2065737,0,0,0,2.514436852e-197,2.193795865e-05
58,-13629357.27,583.2167934,0,0,0,1.587016755e-188,0.0004469148839
99,-13629361.26,587.2063146,0,0,0,1.653545947e-209,5.022881076e-37
62,-13629364.28,590.2245834,0,0,0,2.108508668e-198,1.785634156e-05
67,-13629371.47,597.4098414,0,0,0,2.909505137e-198,3.90223789e-05
100,-13629385.19,611.1285808,0,0,0,3.247601219e-218,8.838264657e-42
106,-13629388.52,614.4653652,0,0,0,1.36931724e-221,8.449382391e-06
