# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_laumer_100k.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-4142779.72,0,0.41839,0.72132,1,0.3268887257,0.8947433219
55,-4142780.42,0.7005467671,0.14008,0.27868,0.99988,0.1953528459,0.3232929245
2,-4142780.427,0.7075522863,0.15149,0.2936,0.9999,0.1901414087,0.5439303878
86,-4142783.922,4.201827863,0.12485,0.1481,0.99959,0.1185572158,0.282257288
3,-4142784.897,5.176573377,0.13171,0.15824,0.99936,0.1117590036,0.222957194
63,-4142785.14,5.419608724,0.01095,0.05423,0.99883,0.02693127995,0.04988171007
30,-4142787.362,7.641700397,0.00316,0.03973,0.99676,0.007563149973,0.01542530252
87,-4142791.827,12.10728294,0.01616,0.04153,0.98312,0.01816514152,0.02772287625
64,-4142794.409,14.68870074,0.00018,0.00105,0.96997,0.000319753019,0.0007061917016
9,-4142800.304,20.58364773,0.00122,0.01508,0.85527,0.00185329323,0.01092970281
4,-4142800.336,20.61626611,0.00157,0.01536,0.85488,0.002103632258,0.01055274676
65,-4142804.854,25.13453955,6e-05,0.00021,0.78724,8.220962817e-05,0.0001301634897
76,-4142805.692,25.97255964,0,7e-05,0.75681,1.09353685e-05,1.77868715e-05
10,-4142809.014,29.29373844,2e-05,0.00273,0.61555,6.849598551e-05,0.0002781152142
27,-4142809.014,29.29431563,2e-05,0.00273,0.6156,6.848658344e-05,0.0002762643722
83,-4142810.699,30.97945464,0,0,0.59905,5.845693576e-09,1.155620921e-05
97,-4142815.754,36.03445733,1e-05,0.00023,0.43101,1.022921647e-05,3.953286586e-05
88,-4142815.93,36.20974728,0,0.00018,0.42525,1.629302142e-06,6.770053035e-17
5,-4142816.591,36.87111281,6e-05,0.0008,0.41426,6.259813666e-05,6.100210445e-05
11,-4142818.626,38.90607597,1e-05,0.00043,0.3575,3.741931766e-06,5.248318803e-05
17,-4142824.686,44.96585607,0,0.00016,0.23636,7.837986016e-07,0.0001922689429
12,-4142825.428,45.70811224,0,0.00014,0.22431,3.343330534e-07,2.224950608e-06
18,-4142828.279,48.55935268,0,0.00012,0.18264,9.340083944e-07,3.908407104e-06
20,-4142829.017,49.29752281,0,0.00012,0.17569,6.201479467e-06,0.0001109493615
21,-4142830.869,51.14872671,6e-05,0.00012,0.15547,4.747505315e-05,0.000160038407
100,-4142832.399,52.67914826,0,0,0.11023,4.442262653e-10,6.597277203e-60
31,-4142834.034,54.3140021,0,0,0.07398,5.476558838e-14,5.067794209e-51
46,-4142834.035,54.31551509,0,0,0.07397,5.452487003e-14,7.161437327e-53
99,-4142838.574,58.8544314,0,1e-05,0.07167,2.374975402e-10,4.635973603e-07
26,-4142846.173,66.45328312,0,0,0.03132,1.835769852e-14,1.740533559e-05
7,-4142847.602,67.8825335,0,0,0.02942,2.601804269e-09,3.841765817e-11
24,-4142850.436,70.71641224,0,0,0.02305,4.146188304e-12,9.94404014e-49
