# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_nonrib_100k.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-233348.2653,0,0.29516,0.70555,1,0.2126372737,0.9340069731
112,-233348.9731,0.7077678308,0.11523,0.29445,0.99965,0.1366132666,0.6572972902
79,-233349.0151,0.7498063851,0.13602,0.27341,0.99956,0.1356276561,0.4154754146
33,-233349.7818,1.516417189,0.10959,0.20331,0.99954,0.1197929194,0.3201113668
2,-233349.7819,1.516605221,0.12127,0.20326,0.99954,0.1197733033,0.3196510087
80,-233351.3154,3.050071492,0.03254,0.11761,0.99451,0.04285183545,0.2428265679
105,-233351.3159,3.050534299,0.03704,0.11735,0.99453,0.04283701107,0.2422282474
113,-233351.6254,3.360088388,0.04716,0.12892,0.99058,0.05105517308,0.1690592639
116,-233351.6258,3.360447536,0.04938,0.12901,0.99053,0.05105924568,0.1690196305
75,-233352.3538,4.088493896,0.00916,0.04944,0.99445,0.02118205091,0.04068140161
34,-233352.3544,4.089054982,0.01069,0.04942,0.99446,0.02117267999,0.04158073252
106,-233353.9222,5.656893888,0.01917,0.04629,0.95994,0.01677492306,0.07092287355
107,-233354.7878,6.522462122,0.0004,0.01621,0.94729,0.003293460985,0.005714889958
108,-233356.0658,7.800413456,0.00027,0.00851,0.91247,0.001554759004,0.005636165081
92,-233356.428,8.162689808,0.0027,0.02327,0.89924,0.004338078063,0.06083707858
81,-233356.5397,8.274346781,0.00178,0.01908,0.89517,0.003300311181,0.01439254867
3,-233357.3716,9.106280871,0.00032,0.00376,0.91345,0.001221756027,0.00251675465
16,-233357.3717,9.106312974,0.00035,0.00374,0.91349,0.001221913319,0.002536105174
111,-233358.6708,10.40546304,0.00069,0.00391,0.80358,0.001014124968,0.004774738912
93,-233359.2296,10.96426138,0.0034,0.02036,0.75701,0.003974985949,0.03145020466
100,-233359.2301,10.96480342,0.0038,0.02035,0.75699,0.00397297554,0.0319625066
60,-233360.8378,12.57249395,5e-05,0.00385,0.72484,0.0002405740812,0.0008159585231
35,-233360.8384,12.57301391,5e-05,0.00383,0.72486,0.0002404799345,0.0008708545059
110,-233360.9294,12.66410259,3e-05,0.00189,0.68874,0.0001510760933,0.002713235105
109,-233360.9687,12.70340355,1e-05,0.00164,0.68668,0.0001311550133,0.001015893933
17,-233362.8073,14.541935,3e-05,0.00042,0.59487,0.0001101082739,0.001018116673
24,-233362.8149,14.54954835,1e-05,0.00043,0.59459,0.0001037001548,0.000585083241
61,-233363.4984,15.23306656,3e-05,0.00149,0.53642,8.573670127e-05,0.0002083119399
94,-233363.8252,15.55983538,0.00016,0.00496,0.51198,0.0003559294998,0.009561957006
63,-233364.4292,16.16384348,2e-05,0.00114,0.47501,6.114078864e-05,0.0003482001515
95,-233365.1701,16.90478657,0.00025,0.00366,0.44402,0.0003051472395,0.004717871743
68,-233364.95,16.68461886,0,0.00065,0.43928,3.042554245e-05,1.172752796e-05
115,-233366.1652,17.89981005,0.0002,0.00162,0.40455,0.0002706437084,0.001628001443
114,-233366.3981,18.13271076,0.00026,0.00137,0.39312,0.0002315537008,0.0003684705688
98,-233366.7767,18.51139409,0,0.00178,0.36572,7.268522452e-05,7.603120495e-05
62,-233367.0188,18.75350307,0.00252,0.00494,0.36066,0.002063065939,0.005594879021
99,-233368.3261,20.06072024,8e-05,0.00111,0.2979,6.687907166e-05,0.001602108608
87,-233369.2185,20.95319109,0,0.00036,0.25527,8.105394723e-06,1.516195277e-06
82,-233369.2188,20.95347668,1e-05,0.00034,0.25522,8.096373353e-06,5.775842022e-06
13,-233369.6203,21.35491133,0,0.00027,0.21458,1.288972351e-05,2.315553937e-05
4,-233369.6204,21.35502828,1e-05,0.00027,0.21453,1.290543794e-05,2.591877582e-05
102,-233369.7681,21.50276442,0,0.00039,0.24019,7.426050793e-06,4.063291752e-05
101,-233369.7684,21.50301382,0,0.00039,0.2402,7.422435779e-06,4.568861824e-05
36,-233370.3595,22.09419471,0,0.00019,0.17228,1.629433421e-06,1.198140086e-05
96,-233371.5744,23.30907288,0.00016,0.0007,0.19705,0.0001289270838,0.0009013104091
83,-233371.8134,23.5480538,0,0.00011,0.16911,1.378308493e-06,3.005858101e-06
86,-233372.1816,23.91628932,0,9e-05,0.15914,8.918347679e-07,4.464760482e-06
88,-233372.2369,23.97159083,0,0.00016,0.1649,2.75200849e-06,6.12426391e-06
89,-233372.2372,23.97184618,0,0.00016,0.16492,2.749196174e-06,8.241542341e-06
103,-233373.8635,25.59817697,0,0.00019,0.12613,3.579207556e-06,0.0001010349737
84,-233374.7986,26.53322852,0,2e-05,0.10314,6.01383039e-07,7.836680201e-07
53,-233375.5101,27.2447423,0,4e-05,0.06051,2.802811135e-07,7.313549133e-06
117,-233375.5417,27.27638308,0,3e-05,0.09578,8.196626134e-07,1.428331749e-07
37,-233375.7188,27.45346764,0,6e-05,0.06059,3.861488603e-07,3.173394204e-54
120,-233375.5995,27.33416959,0,3e-05,0.09482,7.760984834e-07,3.472916585e-07
97,-233375.9599,27.69455884,0,0.0001,0.08894,6.633263774e-07,1.609769305e-09
70,-233376.7463,28.48097119,0,2e-05,0.05265,1.142613362e-07,2.582835226e-05
15,-233376.8032,28.53784661,0,0,0.05726,1.790733783e-07,5.504376796e-06
90,-233377.2702,29.00487213,0,0,0.06553,7.418116e-08,9.989683814e-05
14,-233377.3536,29.08829676,0,6e-05,0.06279,2.607116842e-06,8.959252425e-05
119,-233378.0843,29.81897323,0,1e-05,0.06021,2.424421507e-07,3.160133061e-10
104,-233380.2616,31.99622345,0,0,0.03879,3.557030723e-07,6.196158251e-06
71,-233380.515,32.24969911,0,1e-05,0.02601,2.158676521e-08,3.439945301e-05
69,-233381.6692,33.40388802,0,0,0.01887,1.006992737e-08,2.823347165e-06
52,-233381.9464,33.6810214,0,1e-05,0.01493,4.573429489e-09,9.493936342e-06
47,-233382.4866,34.2212741,0,0,0.01738,9.023864e-08,9.813251917e-05
38,-233382.4869,34.221588,0,0,0.0174,9.010347171e-08,0.0001027394762
91,-233383.084,34.81863112,0,0,0.01913,9.205652157e-10,5.393716129e-06
18,-233383.2139,34.94853208,0,0,0.01731,3.761422427e-06,7.548773843e-05
72,-233383.5399,35.27454339,0,1e-05,0.0198,7.170360201e-08,3.068342479e-05
74,-233384.0308,35.76547821,0,0,0.01259,1.626029869e-08,2.745062853e-09
