# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-233349.4269,0,0.282,0.686,1,0.2109106704,0.9420749122
112,-233350.1096,0.6826561028,0.106,0.314,0.999,0.1374197687,0.7074167674
79,-233350.1438,0.7168414868,0.15,0.278,0.999,0.1373450044,0.3779271788
33,-233350.9716,1.544699482,0.105,0.206,0.998,0.1127131747,0.3004959499
2,-233350.9718,1.5449282,0.111,0.207,0.998,0.1126980302,0.2933907627
80,-233352.4264,2.999432771,0.025,0.116,0.996,0.04624564786,0.2059642724
105,-233352.4268,2.999890099,0.047,0.117,0.996,0.04622217799,0.2193658443
113,-233352.806,3.379128866,0.056,0.137,0.995,0.05320486344,0.14511428
116,-233352.8063,3.379401713,0.055,0.137,0.995,0.05323599949,0.1489348108
75,-233353.5626,4.135682011,0.01,0.045,0.993,0.02039582465,0.05258499198
34,-233353.5632,4.136246354,0.01,0.045,0.993,0.02039035847,0.04919869476
106,-233355.0714,5.644483349,0.022,0.041,0.961,0.01791996227,0.1194686917
107,-233355.8993,6.47241377,0.001,0.017,0.946,0.003859452025,0.07750212776
108,-233357.1512,7.724258701,0.002,0.011,0.923,0.001940958628,0.03218294972
92,-233357.524,8.097098916,0.003,0.02,0.903,0.004694266693,0.1123095888
81,-233357.6428,8.215878592,0.004,0.02,0.903,0.003567243027,0.01803949994
3,-233358.4233,8.996424364,0,0.005,0.911,0.001279085128,1.031134715e-05
16,-233358.4234,8.996455492,0,0.005,0.911,0.00128011821,1.836960623e-05
111,-233359.7415,10.31462007,0.001,0.004,0.792,0.0013010001,0.009179316483
93,-233360.2778,10.85093114,0.004,0.016,0.752,0.004485676072,0.01376869701
100,-233360.2783,10.85141998,0.004,0.016,0.752,0.004482703122,0.01320564123
110,-233361.9335,12.50657287,0,0.003,0.703,0.0001591847084,0.01886812512
109,-233361.9707,12.54378668,0,0.003,0.704,0.0001460181674,0.0004761324929
60,-233362.0316,12.60471766,0,0.003,0.725,0.000202506825,0.0009114396181
35,-233362.032,12.60512586,0,0.003,0.725,0.0002021808069,0.000962303905
17,-233363.9169,14.4899468,0,0.001,0.601,7.160377744e-05,0.0007777691665
24,-233363.9203,14.49333814,0,0.001,0.598,5.749293973e-05,0.000684409827
61,-233364.7357,15.30873629,0,0.001,0.507,3.970415637e-05,2.557569315e-05
94,-233364.8191,15.39220967,0,0.004,0.51,0.0004765148142,0.01036743698
