# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_simion_100k.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-13628774.03,0,0.81807,0.82182,1,0.8063615407,0.8472723109
2,-13628779.51,5.486409578,0.1636,0.17818,0.99972,0.1703966732,0.263459185
95,-13628783.8,9.771367937,0.00093,0.01833,0.99899,0.003528338045,0.004217305797
72,-13628792.62,18.59206376,0.01587,0.04296,0.99725,0.01720425468,0.02942074004
3,-13628795.14,21.10912015,0.00151,0.02418,0.99477,0.002488453427,0.007172431202
115,-13628815.14,41.11703098,1e-05,0,0.92957,1.062007004e-05,3.241862832e-05
4,-13628826.66,52.63551959,1e-05,0.00021,0.84139,1.011986702e-05,3.327821756e-05
107,-13628861.97,87.94330739,0,0,0.34723,3.2322248e-26,1.737806378e-06
50,-13628870.63,96.60359858,0,0,0.24654,5.1424245e-13,4.103166685e-63
5,-13628874.37,100.3474999,0,0,0.21044,3.757655144e-16,2.386151012e-97
134,-13628882.95,108.9280413,0,0,0.15381,1.386919288e-24,1.697870622e-07
96,-13628917.75,143.7201102,0,0,0.025,4.34801761e-40,3.634733609e-07
71,-13628934.31,160.2850001,0,0,0.00807,4.584006804e-44,1.165532626e-06
116,-13628965.13,191.1027825,0,0,0.0026,1.63539745e-49,4.306724638e-07
129,-13628979.06,205.0317078,0,0,0.00109,1.829482317e-54,5.821771969e-07
51,-13628987.77,213.7461272,0,0,0.00058,1.628416946e-47,1.554278846e-91
64,-13628998.14,224.1172915,0,0,0.00029,4.661280949e-54,4.021531856e-111
52,-13629016.11,242.0849398,0,0,8e-05,6.160927151e-52,2.305975809e-100
