# Matched-pair tests of symmetry
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('sym_mar_REV_laumer.symtest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    Name:    Partition name
#    SymSig:  Number of significant sequence pairs by test of symmetry
#    SymNon:  Number of non-significant sequence pairs by test of symmetry
#    SymPval: P-value for maximum test of symmetry
#    MarSig:  Number of significant sequence pairs by test of marginal symmetry
#    MarNon:  Number of non-significant sequence pairs by test of marginal symmetry
#    MarPval: P-value for maximum test of marginal symmetry
#    IntSig:  Number of significant sequence pairs by test of internal symmetry
#    IntNon:  Number of non-significant sequence pairs by test of internal symmetry
#    IntPval: P-value for maximum test of internal symmetry
Name,SymSig,SymNon,SymPval,MarSig,MarNon,MarPval,IntSig,IntNon,IntPval
gene_0001,13,890,0.752322,32,153,0.491,0,185,0.766614
gene_0002,38,368,0.551327,174,200,0.364096,3,371,0.592904
gene_0003,8,553,0.0973011,105,402,6.39213e-05,2,505,0.798267
gene_0004,2,986,0.194925,85,759,0.114486,1,843,0.341823
gene_0005,11,730,0.0635951,47,384,0.232898,8,423,0.0818876
gene_0006,1,739,0.158634,39,313,0.000163191,1,351,0.792735
gene_0007,10,1071,0.337307,83,456,nan,0,539,nan
gene_0008,0,630,0.429005,31,271,0.441705,2,300,0.428871
gene_0009,2,818,0.30104,49,570,0.246872,2,617,0.37608
gene_0010,46,944,0.29132,116,469,0.0703878,3,582,0.568297
gene_0011,17,686,0.437274,124,393,nan,2,515,nan
gene_0012,49,771,0.0109284,204,442,0.000152078,2,644,0.288547
gene_0013,23,572,0.0779922,68,256,9.80321e-09,2,322,0.995308
gene_0014,7,623,0.614371,76,360,0.101168,1,435,0.916016
gene_0015,6,814,0.407576,72,622,0.270047,3,691,0.526637
gene_0016,42,454,0.391447,210,250,0.326952,3,457,0.462986
gene_0017,6,1029,0.949257,36,350,0.895969,5,381,0.883971
gene_0018,46,944,0.0722235,183,775,2.07401e-05,9,949,0.875717
