# Matched-pair tests of symmetry
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('sym_mar_REV_simion.symtest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    Name:    Partition name
#    SymSig:  Number of significant sequence pairs by test of symmetry
#    SymNon:  Number of non-significant sequence pairs by test of symmetry
#    SymPval: P-value for maximum test of symmetry
#    MarSig:  Number of significant sequence pairs by test of marginal symmetry
#    MarNon:  Number of non-significant sequence pairs by test of marginal symmetry
#    MarPval: P-value for maximum test of marginal symmetry
#    IntSig:  Number of significant sequence pairs by test of internal symmetry
#    IntNon:  Number of non-significant sequence pairs by test of internal symmetry
#    IntPval: P-value for maximum test of internal symmetry
Name,SymSig,SymNon,SymPval,MarSig,MarNon,MarPval,IntSig,IntNon,IntPval
gene_0001,0,0,nan,12,462,nan,0,0,nan
gene_0002,0,0,nan,17,873,nan,0,0,nan
gene_0003,0,0,nan,16,84,nan,0,0,nan
gene_0004,0,0,nan,18,693,nan,0,0,nan
gene_0005,0,0,nan,10,724,nan,0,0,nan
gene_0006,0,0,nan,4,222,nan,0,0,nan
gene_0007,0,0,nan,61,331,nan,0,0,nan
gene_0008,0,0,nan,21,219,nan,0,0,nan
gene_0009,0,0,nan,38,340,nan,0,0,nan
gene_0010,0,0,nan,15,655,0.286085,0,0,nan
gene_0011,0,0,nan,4,42,nan,0,0,nan
gene_0012,0,0,nan,0,220,nan,0,0,nan
gene_0013,0,0,nan,0,115,0.27074,0,0,nan
gene_0014,0,0,nan,10,567,nan,0,0,nan
gene_0015,0,0,nan,6,171,nan,0,0,nan
gene_0016,0,0,nan,0,105,nan,0,0,nan
gene_0017,0,0,nan,7,575,nan,0,0,nan
gene_0018,0,0,nan,0,0,nan,0,0,nan
gene_0019,0,0,nan,0,141,nan,0,0,nan
gene_0020,0,0,nan,9,510,nan,0,0,nan
gene_0021,0,0,nan,6,292,nan,0,0,nan
gene_0022,0,0,nan,7,947,nan,0,0,nan
gene_0023,0,0,nan,19,291,nan,0,0,nan
gene_0024,0,0,nan,18,218,nan,0,0,nan
gene_0025,0,0,nan,59,720,nan,0,0,nan
gene_0026,0,0,nan,11,437,nan,0,0,nan
gene_0027,0,0,nan,11,348,nan,0,0,nan
gene_0028,0,0,nan,36,330,nan,0,0,nan
gene_0029,0,0,nan,0,0,nan,0,0,nan
gene_0030,0,0,nan,0,0,nan,0,0,nan
gene_0031,0,0,nan,0,0,nan,0,0,nan
gene_0032,0,0,nan,55,385,nan,0,0,nan
gene_0033,0,0,nan,7,267,nan,0,0,nan
gene_0034,0,0,nan,55,424,nan,0,0,nan
gene_0035,0,0,nan,0,36,nan,0,0,nan
gene_0036,0,0,nan,12,270,nan,0,0,nan
gene_0037,0,0,nan,0,32,nan,0,0,nan
gene_0038,0,0,nan,0,0,nan,0,0,nan
gene_0039,0,0,nan,17,767,nan,0,0,nan
gene_0040,0,0,nan,29,544,nan,0,0,nan
gene_0041,0,0,nan,31,751,nan,0,0,nan
gene_0042,0,0,nan,8,188,nan,0,0,nan
gene_0043,0,0,nan,14,351,nan,0,0,nan
gene_0044,0,0,nan,49,483,nan,0,0,nan
gene_0045,0,0,nan,8,115,nan,0,0,nan
gene_0046,0,0,nan,6,278,nan,0,0,nan
gene_0047,0,0,nan,6,486,nan,0,0,nan
gene_0048,0,0,nan,41,230,nan,0,0,nan
gene_0049,0,0,nan,6,455,0.637715,0,0,nan
gene_0050,0,0,nan,11,526,nan,0,0,nan
gene_0051,0,0,nan,4,222,nan,0,0,nan
gene_0052,0,0,nan,1,405,nan,0,0,nan
gene_0053,0,0,nan,16,444,nan,0,0,nan
gene_0054,0,0,nan,21,407,nan,0,0,nan
gene_0055,0,0,nan,18,412,nan,0,0,nan
gene_0056,0,0,nan,15,264,nan,0,0,nan
gene_0057,0,0,nan,47,1036,nan,0,0,nan
gene_0058,0,0,nan,4,323,nan,0,0,nan
gene_0059,0,0,nan,21,509,nan,0,0,nan
gene_0060,0,0,nan,11,259,nan,0,0,nan
gene_0061,0,0,nan,7,70,nan,0,0,nan
gene_0062,0,0,nan,57,338,nan,0,0,nan
gene_0063,0,0,nan,0,0,nan,0,0,nan
gene_0064,0,0,nan,5,278,nan,0,0,nan
gene_0065,0,0,nan,3,88,nan,0,0,nan
gene_0066,0,0,nan,18,208,nan,0,0,nan
gene_0067,0,0,nan,30,479,nan,0,0,nan
gene_0068,0,0,nan,5,372,nan,0,0,nan
gene_0069,0,0,nan,4,582,nan,0,0,nan
gene_0070,0,0,nan,4,487,nan,0,0,nan
gene_0071,0,0,nan,0,74,nan,0,0,nan
gene_0072,0,0,nan,15,197,nan,0,0,nan
gene_0073,0,0,nan,2,261,nan,0,0,nan
gene_0074,0,0,nan,34,239,nan,0,0,nan
gene_0075,0,0,nan,1,115,nan,0,0,nan
gene_0076,0,0,nan,0,0,nan,0,0,nan
gene_0077,0,0,nan,1,239,nan,0,0,nan
gene_0078,0,0,nan,0,32,nan,0,0,nan
gene_0079,0,0,nan,0,0,nan,0,0,nan
gene_0080,0,0,nan,3,165,nan,0,0,nan
gene_0081,0,0,nan,10,245,nan,0,0,nan
gene_0082,0,0,nan,33,586,nan,0,0,nan
gene_0083,0,0,nan,36,438,nan,0,0,nan
gene_0084,0,0,nan,25,386,nan,0,0,nan
gene_0085,0,0,nan,73,993,nan,0,0,nan
gene_0086,0,0,nan,5,201,nan,0,0,nan
gene_0087,0,0,nan,1,39,nan,0,0,nan
gene_0088,0,0,nan,19,226,nan,0,0,nan
gene_0089,0,0,nan,100,941,nan,0,0,nan
gene_0090,0,0,nan,27,720,nan,0,0,nan
gene_0091,0,0,nan,57,1664,nan,0,0,nan
gene_0092,0,0,nan,3,203,nan,0,0,nan
gene_0093,0,0,nan,4,208,nan,0,0,nan
gene_0094,0,0,nan,5,261,nan,0,0,nan
gene_0095,0,0,nan,41,597,nan,0,0,nan
gene_0096,0,0,nan,8,588,nan,0,0,nan
