# Matched-pair tests of symmetry
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('sym.symtest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    Name:    Partition name
#    SymSig:  Number of significant sequence pairs by test of symmetry
#    SymNon:  Number of non-significant sequence pairs by test of symmetry
#    SymPval: P-value for maximum test of symmetry
#    MarSig:  Number of significant sequence pairs by test of marginal symmetry
#    MarNon:  Number of non-significant sequence pairs by test of marginal symmetry
#    MarPval: P-value for maximum test of marginal symmetry
#    IntSig:  Number of significant sequence pairs by test of internal symmetry
#    IntNon:  Number of non-significant sequence pairs by test of internal symmetry
#    IntPval: P-value for maximum test of internal symmetry
Name,SymSig,SymNon,SymPval,MarSig,MarNon,MarPval,IntSig,IntNon,IntPval
gene_0001,1,1509,0.363643,12,462,nan,0,474,nan
gene_0002,1,1629,0.425554,17,873,nan,10,880,nan
gene_0003,23,783,0.369535,16,84,nan,0,100,nan
gene_0004,2,1170,0.367879,18,693,nan,3,708,nan
gene_0005,0,1089,0.43347,10,724,nan,6,728,nan
gene_0006,0,849,0.391625,4,222,nan,0,226,nan
gene_0007,5,839,0.317311,61,331,nan,2,390,nan
gene_0008,0,738,0.42319,21,219,nan,0,240,nan
gene_0009,3,1365,0.170853,38,340,nan,1,377,nan
gene_0010,0,1735,0.33944,15,655,0.286085,2,668,0.497307
gene_0011,4,1765,0.500461,4,42,nan,0,46,nan
gene_0012,1,1373,0.42888,0,220,nan,3,217,nan
gene_0013,1,1430,0.262757,0,115,0.27074,0,115,0.34223
gene_0014,0,1353,0.391625,10,567,nan,3,574,nan
gene_0015,0,1653,0.52074,6,171,nan,1,176,nan
gene_0016,10,2200,0.391823,0,105,nan,0,105,nan
gene_0017,4,2004,0.326466,7,575,nan,1,581,nan
gene_0018,18,1991,0.609254,0,0,nan,0,0,nan
gene_0019,0,1170,0.556911,0,141,nan,0,141,nan
gene_0020,1,1459,0.317311,9,510,nan,1,518,nan
gene_0021,2,959,0.459889,6,292,nan,6,292,nan
gene_0022,0,1469,0.42888,7,947,nan,3,951,nan
gene_0023,3,1329,0.378155,19,291,nan,2,308,nan
gene_0024,0,543,0.500199,18,218,nan,0,236,nan
gene_0025,2,1267,0.42888,59,720,nan,0,779,nan
gene_0026,0,1007,0.42888,11,437,nan,0,448,nan
gene_0027,0,1505,0.317311,11,348,nan,3,356,nan
gene_0028,3,2336,0.367879,36,330,nan,1,365,nan
gene_0029,0,1581,0.317311,0,0,nan,0,0,nan
gene_0030,0,1366,0.713601,0,0,nan,0,0,nan
gene_0031,0,1209,0.45021,0,0,nan,0,0,nan
gene_0032,10,1738,0.317311,55,385,nan,2,438,nan
gene_0033,1,1062,0.391625,7,267,nan,1,273,nan
gene_0034,16,1796,0.443263,55,424,nan,3,476,nan
gene_0035,0,472,0.526524,0,36,nan,3,33,nan
gene_0036,1,1072,0.449711,12,270,nan,0,282,nan
gene_0037,0,859,0.369535,0,32,nan,0,32,nan
gene_0038,2,1650,0.326331,0,0,nan,0,0,nan
gene_0039,0,1562,0.528919,17,767,nan,2,782,nan
gene_0040,3,829,0.367879,29,544,nan,1,572,nan
gene_0041,0,1272,0.452961,31,751,nan,2,780,nan
gene_0042,0,943,0.406006,8,188,nan,4,192,nan
gene_0043,3,1320,0.458944,14,351,nan,0,365,nan
gene_0044,1,1124,0.567001,49,483,nan,0,532,nan
gene_0045,3,1908,0.367879,8,115,nan,0,123,nan
gene_0046,0,1076,0.287297,6,278,nan,0,284,nan
gene_0047,5,1306,0.648247,6,486,nan,4,488,nan
gene_0048,6,2183,0.443263,41,230,nan,1,270,nan
gene_0049,0,1004,0.30168,6,455,0.637715,2,458,0.138533
gene_0050,2,1315,0.437274,11,526,nan,1,536,nan
gene_0051,3,1056,0.41588,4,222,nan,3,223,nan
gene_0052,0,2272,0.562198,1,405,nan,5,401,nan
gene_0053,0,1472,0.382052,16,444,nan,1,459,nan
gene_0054,0,1384,0.562198,21,407,nan,0,428,nan
gene_0055,0,1174,0.373844,18,412,nan,1,429,nan
gene_0056,1,885,0.42319,15,264,nan,3,276,nan
gene_0057,1,1779,0.350485,47,1036,nan,2,1081,nan
gene_0058,0,1023,0.39951,4,323,nan,1,326,nan
gene_0059,0,1587,0.557825,21,509,nan,5,525,nan
gene_0060,0,824,0.42888,11,259,nan,0,270,nan
gene_0061,0,752,0.353165,7,70,nan,1,76,nan
gene_0062,5,1135,0.320229,57,338,nan,6,389,nan
gene_0063,0,496,0.357518,0,0,nan,0,0,nan
gene_0064,0,557,0.557103,5,278,nan,0,283,nan
gene_0065,0,673,0.317311,3,88,nan,0,91,nan
gene_0066,0,728,0.406006,18,208,nan,0,225,nan
gene_0067,0,918,0.367879,30,479,nan,1,508,nan
gene_0068,0,1225,0.684597,5,372,nan,0,377,nan
gene_0069,0,1363,0.391625,4,582,nan,3,583,nan
gene_0070,0,1212,0.543813,4,487,nan,3,488,nan
gene_0071,1,942,0.377752,0,74,nan,0,74,nan
